ean,desc_sku
7509546060781,CREME DENTAL COLGATE COLGATE BABY SEM FLUOR 50g SINGLE
7509546061689,ESCOVA DENTAL COLGATE SLIM SOFT BLACK 2UND BIPACK
7509546069593,CREME DENTAL COLGATE SMILES MINIONS 100g SINGLE
7509546074399,ESCOVA DENTAL COLGATE SLIM SOFT BLACK 3UND TRIPACK
7509546080864,ESCOVA DENTAL COLGATE ZIG ZAG CARVAO 4UND FOURPACK
7509546651040,CREME DENTAL COLGATE LUMINOUS WHITE CARVAO ATIVADO 70g SINGLE
7509546654027,CREME DENTAL COLGATE TOTAL ANTI TARTARO 140g SINGLE
7509546657066,CREME DENTAL COLGATE NATURAL EXTRACTS DEFESA REFORCADA 140g SINGLE
7509546657240,ESCOVA DENTAL COLGATE SLIM SOFT BLACK 4UND FOURPACK
7509546665306,CREME DENTAL COLGATE LUMINOUS WHITE CARVAO ATIVADO 140g SINGLE
7509546665801,SABONETE LÍQUIDO PALMOLIVE LUMINOUS OILS FIGO E ORQUIDEA BRANCA 250g SINGLE
7509546668758,ENXAGUANTE COLGATE GARD GENGIVA SAUDAVEL 500ml SINGLE
7509546673226,SABONETES INFANTIL PROTEX PROTEX BABY GLICERINADO 85 SINGLE
7509546675862,CREME DENTAL COLGATE GARD GENGIVA SAUDAVEL 60g SINGLE
7509546676258,CREME DENTAL COLGATE LUMINOUS WHITE GLOW 70g SINGLE
7509546679174,CREME DENTAL COLGATE TRIPLA AÇÃO MENTA ORIGINAL 90g FOURPACK
7509546679600,CREME DENTAL COLGATE LUMINOUS WHITE CARVAO ATIVADO 70g TRIPACK
7509546679617,ENXAGUANTE COLGATE PLAX FRESH 750ml SINGLE
7509546685939,ENXAGUANTE COLGATE PLAX S/ VERSAO 750ml SINGLE
7509546685960,CREME DENTAL COLGATE TOTAL WHITENING 90g FOURPACK
7509546686035,CREME DENTAL COLGATE TOTAL CARVAO ATIVADO 140g SINGLE
7509546686912,ESCOVA DENTAL COLGATE SENSITIVE S/ VERSAO 1UND SINGLE
7509546686929,ESCOVA DENTAL COLGATE SENSITIVE SENSITIVE THERAPY 2UND BIPACK
7509546688442,CREME DENTAL COLGATE LUMINOUS WHITE GLOW 70g BIPACK
7509546690308,ESCOVA DENTAL ELMEX ELMEX SENSITIVE S/ VERSAO 2UND BIPACK
7509546693729,ESCOVA DENTAL COLGATE TOTAL LIMPEZA ESPUMOSA 2UND BIPACK
7509546693736,ESCOVA DENTAL COLGATE TOTAL WHITENING 2UND BIPACK
7509546693873,SABONETE BARRAS PALMOLIVE NATURALS HIDRATACAO REFRESCANTE MELANCIA E LICHIA 85g SIXPACK
7509546694580,ENXAGUANTE COLGATE GARD GENGIVA SAUDAVEL 250ml BIPACK
7509546695792,SABONETE BARRAS PROTEX FRESH 85g SIXPACK
7509546695945,SABONETE LÍQUIDO PALMOLIVE NATURALS HIDRATACAO REFRESCANTE MELANCIA E LICHIA 250g SINGLE
7509546696126,SABONETE BARRAS PALMOLIVE NATURALS SENSACAO PURIFICANTE ARGILA PRETA E OLEO DE EUCALIPTO 85g SIXPACK
7509546697239,CREME DENTAL COLGATE SENSITIVE PRO ALÍVIO IMEDIATO IMEDIATO XTREME 90g TRIPACK
7509546697383,CREME DENTAL COLGATE TOTAL CARVAO ATIVADO 90g FOURPACK
7509546700434,CREME DENTAL COLGATE LUMINOUS WHITE COLOR CORRECT 70g SINGLE
7509546702605,CREME DENTAL COLGATE TOTAL ORIGINAL MINT 90g SINGLE
7509546702612,CREME DENTAL COLGATE TOTAL ORIGINAL MINT 90g FOURPACK
7509546702636,CREME DENTAL COLGATE TOTAL ORIGINAL MINT 140g SINGLE
7509546702988,ESCOVA DENTAL COLGATE ORIGINAL MINT 3UND TRIPACK
7591083011081,ESCOVA DENTAL COLGATE COLGATE BABY 0-2 ANOS 1UND SINGLE
7793100112287,CREME DENTAL COLGATE GARD S/ VERSAO 90g SINGLE
7793100130243,CREME DENTAL COLGATE GARD GENGIVA SAUDAVEL 90g SINGLE
7891024013540,ESCOVA DENTAL COLGATE WHITENING S/ VERSAO 2UND BIPACK
7891024021606,ESCOVA DENTAL COLGATE ULTRA SOFT S/ VERSAO 3UND TRIPACK
7891024024003,ÍNTIMO PROTEX DELICATE CARE 200ml SINGLE
7891024026434,ESCOVA DENTAL COLGATE CLASSIC S/ VERSAO 3UND TRIPACK
7891024030820,CREME DENTAL COLGATE LUMINOUS WHITE BRILLIANT 70g SINGLE
7891024033425,ENXAGUANTE COLGATE GARD SEM ALCOOL 250ml SINGLE
7891024035504,SABONETE BARRAS PROTEX AVEIA 85g SIXPACK
7891024035511,SABONETE BARRAS PROTEX LIMPEZA PROFUNDA 85g SIXPACK
