ean,desc_sku,store,status,price_brl,found_name,message
7509546060781,CREME DENTAL COLGATE COLGATE BABY SEM FLUOR 50g SINGLE,Drogaria Venancio,Success,23.59,Creme Dental Colgate Kids Baby Primeiros Dentinhos Sem Flúor 50g,
7509546060781,CREME DENTAL COLGATE COLGATE BABY SEM FLUOR 50g SINGLE,Drogaria São Paulo,Success,21.99,Gel Dental Colgate Baby Meus Primeiros Dentinhos Sem Flúor Sabor Fruta Suave 50g,
7509546060781,CREME DENTAL COLGATE COLGATE BABY SEM FLUOR 50g SINGLE,Drogarias Pacheco,Success,23.59,Gel Dental Colgate Baby Meus Primeiros Dentinhos Sem Flúor Sabor Fruta Suave 50g,
7509546060781,CREME DENTAL COLGATE COLGATE BABY SEM FLUOR 50g SINGLE,Drogal,Success,24.55,Creme Dental Colgate Baby Primeiros Dentinhos Sem Flúor 50g,
7509546060781,CREME DENTAL COLGATE COLGATE BABY SEM FLUOR 50g SINGLE,Farmácia Indiana,Success,28.99,Creme Dental Colgate Kids Sem Flúor 50g,
7509546060781,CREME DENTAL COLGATE COLGATE BABY SEM FLUOR 50g SINGLE,Drogaria Catarinense,Success,23.87,Gel Dental Colgate Baby 50gr Sem Fluor Fruta Suave,
7509546060781,CREME DENTAL COLGATE COLGATE BABY SEM FLUOR 50g SINGLE,Pague Menos,Success,22.99,Gel Dental Colgate Baby Primeiros Dentinhos 50g,
7509546060781,CREME DENTAL COLGATE COLGATE BABY SEM FLUOR 50g SINGLE,Farmácias São João,Success,29.99,Creme Dental Colgate 50g Kids sem Flúor,
7509546061689,ESCOVA DENTAL COLGATE SLIM SOFT BLACK 2UND BIPACK,Drogarias Pacheco,Success,16.59,Escova de Dente Colgate Slim Soft Black Cerdas Macias Preta 2 Unidades,
7509546061689,ESCOVA DENTAL COLGATE SLIM SOFT BLACK 2UND BIPACK,Pague Menos,Success,19.99,Escova Dental Colgate Slim Soft Black Infusão de Carvão Cerdas Macia 2 Unidades,
7509546061689,ESCOVA DENTAL COLGATE SLIM SOFT BLACK 2UND BIPACK,Drogal,Success,19.95,Escova Dental Colgate Slim Soft Black 2 Unidades,
7509546061689,ESCOVA DENTAL COLGATE SLIM SOFT BLACK 2UND BIPACK,Drogaria São Paulo,Success,18.59,Escova de Dente Colgate Slim Soft Black Cerdas Macias Preta 2 Unidades,
